"","congress","speaker","position","party","date"
"76","1991_dresden","Hannelore Rönsch",0.380859141391464,"CDU","12/15/1991"
"77","1991_dresden","Hans Geisler",0.0872990028866793,"CDU","12/15/1991"
"78","1991_dresden","Hans-Gert Pöttering",-1.0512767307777,"CDU","12/15/1991"
"79","1991_dresden","Hans-Henninq Axthelm",-0.0568765696279209,"CDU","12/15/1991"
"80","1991_dresden","Hartmut Schauerte",0.0651912369017796,"CDU","12/15/1991"
"81","1991_dresden","Heiner Geißler",0.810936446070034,"CDU","12/15/1991"
"82","1991_dresden","Helmut Kohl",1.66004483629847,"CDU","12/15/1991"
"83","1991_dresden","Helmut Rauber",0.205169304341345,"CDU","12/15/1991"
"84","1991_dresden","Hermann Gröhe",1.06751861686472,"CDU","12/15/1991"
"85","1991_dresden","Hermann Schnipkoweit",-0.637799725285359,"CDU","12/15/1991"
"86","1991_dresden","Holger Müller",-0.339538102961479,"CDU","12/15/1991"
"87","1991_dresden","Hubert Hüppe",-1.3089429019539,"CDU","12/15/1991"
"88","1991_dresden","Johannes Gerster",-1.13250178177053,"CDU","12/15/1991"
"89","1991_dresden","Jürgen Langner",0.108439422629241,"CDU","12/15/1991"
"90","1991_dresden","Jürgen Schreier",0.832860067328306,"CDU","12/15/1991"
"91","1991_dresden","Karl Carstens",0.0321863747898064,"CDU","12/15/1991"
"92","1991_dresden","Karl-Joachim Kierey",-0.941504466411894,"CDU","12/15/1991"
"93","1991_dresden","Klaus Herrmann",-1.23190100266767,"CDU","12/15/1991"
"94","1991_dresden","Klaus Zeh",0.451027323234093,"CDU","12/15/1991"
"95","1991_dresden","Kurt Biedenkopf",0.931595009779995,"CDU","12/15/1991"
"96","1991_dresden","Kurt-Dieter Grill",-0.0858761038433784,"CDU","12/15/1991"
"97","1991_dresden","Leo Lennartz",0.374031528680693,"CDU","12/15/1991"
"98","1991_dresden","Maria Böhmer",0.338830314412092,"CDU","12/15/1991"
"99","1991_dresden","Maria Michalk",-1.360787754736,"CDU","12/15/1991"
"100","1991_dresden","Matthias Stern",0.152016321765178,"CDU","12/15/1991"
"101","1991_dresden","Matthias Wissmann",0.772501183839114,"CDU","12/15/1991"
"102","1991_dresden","Michael Dirks",-0.745332128423884,"CDU","12/15/1991"
"103","1991_dresden","Norbert Blüm",0.685615718374307,"CDU","12/15/1991"
