"speaker","congress"
"Norbert Römer","2011_Berlin"
"Olaf Scholz","2011_Berlin"
"Oliver Kaczmarek","2011_Berlin"
"Ottmar Schreiner","2011_Berlin"
"Peer Steinbrück","2011_Berlin"
"Petar Drakul","2011_Berlin"
"Peter Friedrich","2011_Berlin"
"Peter Simon","2011_Berlin"
"Ralf Jäger","2011_Berlin"
"Ralf Spörkel","2011_Berlin"
"Ralf Stegner","2011_Berlin"
"Rolf Wiegand","2011_Berlin"
"Rudolf Riep","2011_Berlin"
"Sascha Vogt","2011_Berlin"
"Sebastian Edathy","2011_Berlin"
"Sebastian Roloff","2011_Berlin"
"Sebastian Weigle","2011_Berlin"
"Sigmar Gabriel","2011_Berlin"
"Simone Burger","2011_Berlin"
"Sonja Pellin","2011_Berlin"
"Stefan Bolln","2011_Berlin"
"Stefan Klecha","2011_Berlin"
"Stella Kirgiane-Efremidis","2011_Berlin"
"Stephan Grüger","2011_Berlin"
"Stephan Weil","2011_Berlin"
"Susana Dos Santos Herrmann","2011_Berlin"
"Sven Kaerkes","2011_Berlin"
"Sönke Rix","2011_Berlin"
"Sören Mandel","2011_Berlin"
"Thomas Oppermann","2011_Berlin"
"Thomas Spies","2011_Berlin"
"Thorsten Schäfer-Gümbel","2011_Berlin"
"Timon Gremmels","2011_Berlin"
"Torsten Warnecke","2011_Berlin"
"Turgut Yüksel","2011_Berlin"
"Udo Bullmann","2011_Berlin"
"Ulla Burchardt","2011_Berlin"
"Ulrich Kelber","2011_Berlin"
"Ulrike Nissen","2011_Berlin"
"Ulrike Sommer","2011_Berlin"
"Ute Vogt","2011_Berlin"
"Valentina Kerst","2011_Berlin"
"Veith lemmen","2011_Berlin"
"Wolfgang Thierse","2011_Berlin"
"Andrea Nahles","2012_Hannover"
"Dorothea Kliche-Behnke","2012_Hannover"
"Frank-Walter Steinmeier","2012_Hannover"
"Hannelore Kraft","2012_Hannover"
"Josef Leinen","2012_Hannover"
"Martin Stürmer","2012_Hannover"
"Michael Müller","2012_Hannover"
"Olaf Scholz","2012_Hannover"
"Peer Steinbrück","2012_Hannover"
"Ralf Stegner","2012_Hannover"
"Sigmar Gabriel","2012_Hannover"
"Stephan Weil","2012_Hannover"
"Andrea Nahles","2013_Augsburg"
"Andro Scholl","2013_Augsburg"
"Anette  Sorg","2013_Augsburg"
"Christian  Ude","2013_Augsburg"
"Claudia  Walther","2013_Augsburg"
"Eckart  Kuhlwein","2013_Augsburg"
"Elke Ferner","2013_Augsburg"
"Elvira  Drobinski-Weiß","2013_Augsburg"
"Fabienne Vesper","2013_Augsburg"
"Frank-Walter  Steinmeier","2013_Augsburg"
"Grigori  Lagodinsky ","2013_Augsburg"
"Hilde  Mattheis","2013_Augsburg"
"Katharina Oerder","2013_Augsburg"
"Manuela  Schwesig","2013_Augsburg"
"Mareike  Strauß","2013_Augsburg"
"Martin Schulz","2013_Augsburg"
"Michael Müller","2013_Augsburg"
"Moritz Deutschmann","2013_Augsburg"
"Niels  Annen","2013_Augsburg"
"Norbert  Fabian","2013_Augsburg"
"Olaf  Scholz","2013_Augsburg"
"Peer  Steinbrück","2013_Augsburg"
"Ralf  Stegner","2013_Augsburg"
"Sascha  Vogt","2013_Augsburg"
"Sebastian  Roloff","2013_Augsburg"
"Sigmar Gabriel","2013_Augsburg"
"Thorsten  Schäfer-Gümbel","2013_Augsburg"
"Walter  Berthel","2013_Augsburg"
