"speaker","congress"
"Friedbert Pflüger","1992_duesseldorf"
"Friedhelm Ost","1992_duesseldorf"
"Friedrich Merz","1992_duesseldorf"
"Fritz Tremmel","1992_duesseldorf"
"Georg Gölter","1992_duesseldorf"
"Georg Jarzembowski","1992_duesseldorf"
"Georg Milbradt","1992_duesseldorf"
"Gerhard Stoltenberg","1992_duesseldorf"
"Godelieve Quisthoudt-Rowohl","1992_duesseldorf"
"Günter Rinsche","1992_duesseldorf"
"Günther Krause","1992_duesseldorf"
"Hanna-Renate Laurien","1992_duesseldorf"
"Hannelore Rönsch","1992_duesseldorf"
"Hans Filbinger","1992_duesseldorf"
"Hans Geisler","1992_duesseldorf"
"Hans Waldeck","1992_duesseldorf"
"Hans-Gert Pöttering","1992_duesseldorf"
"Hans-Hermann Ott","1992_duesseldorf"
"Hans-Peter Repnik","1992_duesseldorf"
"Hans-jürgen Doss","1992_duesseldorf"
"Harald Noack","1992_duesseldorf"
"Hedda Meseke","1992_duesseldorf"
"Hedwig Keppelhoff-Wiechert","1992_duesseldorf"
"Heinz Eggert","1992_duesseldorf"
"Heinz-Adolf Hörsken","1992_duesseldorf"
"Helmut Kohl","1992_duesseldorf"
"Helmut Linssen","1992_duesseldorf"
"Herbert Goliasch","1992_duesseldorf"
"Herbert Reul","1992_duesseldorf"
"Heribert Scharrenbroich","1992_duesseldorf"
"Hermann Gröhe","1992_duesseldorf"
"Holger Müller","1992_duesseldorf"
"Horst Köhler","1992_duesseldorf"
"Horst Waffenschmidt","1992_duesseldorf"
"Hubert Hüppe","1992_duesseldorf"
"Irmgard Klingbeil","1992_duesseldorf"
"Joachim Grünewald","1992_duesseldorf"
"Johannes Gerster","1992_duesseldorf"
"Johannes Mertens","1992_duesseldorf"
"Josef Stock","1992_duesseldorf"
"Karl Lamers","1992_duesseldorf"
"Karl von Wogau","1992_duesseldorf"
"Karl-Heinz Hornhues","1992_duesseldorf"
"Klaus Laepple","1992_duesseldorf"
"Klaus Landowsky","1992_duesseldorf"
"Klaus Töpfer","1992_duesseldorf"
"Klaus Zeh","1992_duesseldorf"
"Klaus-Thomas Schüle","1992_duesseldorf"
"Kurt Biedenkopf","1992_duesseldorf"
"Leo Lennartz","1992_duesseldorf"
"Manfred Kanther","1992_duesseldorf"
"Marlene Lenz","1992_duesseldorf"
"Matthias Wissmann","1992_duesseldorf"
"Norbert Blüm","1992_duesseldorf"
"Ottfried Hennig","1992_duesseldorf"
"Otto Bardong","1992_duesseldorf"
"Peter Altmaier","1992_duesseldorf"
"Peter Hans","1992_duesseldorf"
"Peter Hintze","1992_duesseldorf"
"Peter Jungen","1992_duesseldorf"
"Peter Kittelmann","1992_duesseldorf"
"Peter Rauen","1992_duesseldorf"
"Rainer Eppelmann","1992_duesseldorf"
"Reinhard Gönner","1992_duesseldorf"
"Reinhard Sager","1992_duesseldorf"
"Reinhard Schulze","1992_duesseldorf"
"Renate Hellwig","1992_duesseldorf"
"Rita Süssmuth","1992_duesseldorf"
"Rolf Berend","1992_duesseldorf"
"Rudolf Krause","1992_duesseldorf"
"Rudolf Luster","1992_duesseldorf"
"Rudolf Seiters","1992_duesseldorf"
"Rudolf Warnking","1992_duesseldorf"
"Rupert Scholz","1992_duesseldorf"
"Sabine Bergmann-Pohl","1992_duesseldorf"
"Siegfried Ernst","1992_duesseldorf"
"Stephan Eisel","1992_duesseldorf"
"Tamara Zieschang","1992_duesseldorf"
"Thomas Stritzl","1992_duesseldorf"
"Udo Haschke","1992_duesseldorf"
"Ulf Fink","1992_duesseldorf"
"Ulrich Born","1992_duesseldorf"
"Ulrich Junghanns","1992_duesseldorf"
"Ulrich Klinkert","1992_duesseldorf"
"Ursula Braun-Moser","1992_duesseldorf"
"Ursula Körtner","1992_duesseldorf"
"Uwe Greve","1992_duesseldorf"
"Uwe Lehmann-Brauns","1992_duesseldorf"
"Volker Bandmann","1992_duesseldorf"
"Volker Rühe","1992_duesseldorf"
"Volker Sandmann","1992_duesseldorf"
"Walter Hostert","1992_duesseldorf"
"Walter Neuhaus","1992_duesseldorf"
"Werner Münch","1992_duesseldorf"
"Werner Thomas","1992_duesseldorf"
"Wilfried Martens","1992_duesseldorf"
"Winfried Pinger","1992_duesseldorf"
"Wolfgang Schäuble","1992_duesseldorf"
"Wolfgang Zöllick","1992_duesseldorf"
"Albert Roer","1993_berlin"
"Alfons Vogtei","1993_berlin"
"Alfred Dregger","1993_berlin"
"Angela Merkel","1993_berlin"
"Angelika Volquaru","1993_berlin"
"Beatrix Philip","1993_berlin"
"Bernd Neumann","1993_berlin"
"Bernd Schneider","1993_berlin"
"Berndt Seite","1993_berlin"
"Bernhard Sälzer","1993_berlin"
"Bernhard Vogel","1993_berlin"
"Bruno Orth","1993_berlin"
"Burkhard Remmers","1993_berlin"
"Carola Hartfelder","1993_berlin"
"Christa Reichard","1993_berlin"
"Christian Wulff","1993_berlin"
"Christine Lieberknecht","1993_berlin"
"Dieter Althaus","1993_berlin"
"Dirk Fischer","1993_berlin"
"Eberhard Diepgen","1993_berlin"
"Edward-Errol Jaffke","1993_berlin"
"Elisabeth Rickal","1993_berlin"
"Erwin Teufel","1993_berlin"
"Georg Gölter","1993_berlin"
"Georg Jarzembowski","1993_berlin"
"Gerhard Mayer-Vorfelder","1993_berlin"
"Gisela Junker","1993_berlin"
"Hanna-Renate Laurien","1993_berlin"
"Hans-Dieter Burkert","1993_berlin"
"Harald Noack","1993_berlin"
"Hartmut Perschau","1993_berlin"
"Heiner Geißler","1993_berlin"
"Heinz Eggert","1993_berlin"
"Heinz Paus","1993_berlin"
"Heinz-Adolf Hörsken","1993_berlin"
"Helmut Kohl","1993_berlin"
"Helmut Rauber","1993_berlin"
"Herbert Reul","1993_berlin"
"Herman Gröhe","1993_berlin"
"Hubert Scharf","1993_berlin"
"Inge Rauschning","1993_berlin"
"Inge Velte","1993_berlin"
"Irmgard Vogelsang","1993_berlin"
"Jasef Kratt","1993_berlin"
"Joachim Schempf","1993_berlin"
"Johann Wadephul","1993_berlin"
"Johannes Gerster","1993_berlin"
"Jürgen Langner","1993_berlin"
"Jürgen Schreier","1993_berlin"
"Karl-Josef Laumann","1993_berlin"
"Klaus Bregger","1993_berlin"
"Klaus Herrmann","1993_berlin"
"Klaus Landowsky","1993_berlin"
"Klaus Panther","1993_berlin"
"Klaus Töpfer","1993_berlin"
"Kurt Biedenkopf","1993_berlin"
"Maria Böhmer","1993_berlin"
"Melmut Bongartz","1993_berlin"
"Morst Nolte","1993_berlin"
"Nikolaus Kierher","1993_berlin"
"Norbert Blüm","1993_berlin"
"Norbert Lammert","1993_berlin"
"Oliver Rössler","1993_berlin"
"Peter Hans","1993_berlin"
"Peter Hintze","1993_berlin"
"Reinhard Göhner","1993_berlin"
"Rita Gerdemann","1993_berlin"
"Rita Süssmuth","1993_berlin"
"Rudi Geil","1993_berlin"
"Rudolf Seiters","1993_berlin"
"Siegfried Kauder","1993_berlin"
"Steffen Heitmann","1993_berlin"
"Tamara Zieschang","1993_berlin"
"Thomas Schäuble","1993_berlin"
"Thomas Stritzl","1993_berlin"
"Tim Arnold","1993_berlin"
"Udo Haschke","1993_berlin"
